2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2
2,2,2,4,1,1,1,1,1,661,3,2,2,2,4,1,1,1,1,1,701,3,2,2,2
2,2,2,2,0,0,1,0,0,0,2,2,3,2,2,0,0,0,1,0,0,2,2,2,2
2,3,2,2,0,0,1,0,0,0,0,0,661,0,0,0,0,0,1,0,0,2,2,3,2
0,631,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,741,0,0,0,0,701,0
0,1,0,0,0,2,4,2,2,0,0,0,1,0,0,0,2,2,3,2,0,0,0,1,0
0,1,0,0,0,2,2,2,2,0,0,0,1,0,0,0,2,2,2,2,0,0,0,1,0
0,1,0,0,0,2,2,2,2,0,0,0,1,0,0,0,2,2,2,2,0,0,0,1,0
0,1,0,0,0,2,3,2,2,0,0,0,1,0,0,0,2,2,3,2,0,0,0,1,0
0,781,0,0,0,0,711,0,0,0,0,0,561,0,0,0,0,0,741,0,0,0,0,851,0
2,3,2,2,0,0,1,0,0,0,2,2,3,2,2,0,0,0,1,0,0,2,2,3,2
2,2,2,2,0,0,1,0,0,0,2,2,2,2,2,0,0,0,1,0,0,2,2,2,2
2,2,2,3,781,1,1,1,1,1,4,2,2,2,3,561,1,1,1,1,1,4,2,2,2
2,2,2,2,0,0,1,0,0,0,2,2,2,2,2,0,0,0,1,0,0,2,2,2,2
2,3,2,2,0,0,1,0,0,0,2,2,3,2,2,0,0,0,1,0,0,2,2,3,2
0,781,0,0,0,0,871,0,0,0,0,0,561,0,0,0,0,0,1,0,0,0,0,851,0
0,1,0,0,0,2,3,2,2,0,0,0,1,0,0,0,2,2,4,2,0,0,0,1,0
0,1,0,0,0,2,2,2,2,0,0,0,1,0,0,0,2,2,2,2,0,0,0,1,0
0,1,0,0,0,2,2,2,2,0,0,0,1,0,0,0,2,2,2,2,0,0,0,1,0
0,1,0,0,0,2,3,2,2,0,0,0,1,0,0,0,2,2,3,2,0,0,0,1,0
0,1,0,0,0,0,871,0,0,0,0,0,1,0,0,0,0,0,891,0,0,0,0,981,0
2,4,2,2,0,0,1,0,0,0,0,0,941,0,0,0,0,0,1,0,0,2,2,3,2
2,2,2,2,0,0,1,0,0,0,2,2,3,2,2,0,0,0,1,0,0,2,2,2,2
2,2,2,3,911,1,1,1,1,941,3,2,2,2,4,1,1,1,1,1,981,3,2,2,2
2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2
