/イベントナンバー,アクションタイプ,立ち絵会話ナンバー,取得アイテムナンバー,取得アイテム個数,アイテム個数設定,アイテム所得演出の有無,取得装備ナンバー,取得装備個数,装備変更するキャラクター,装備所得演出の有無,追加キャラクター,追加/脱退,キャラクター追加演出の有無,習得スキルナンバー,習得キャラクター,習得/忘却,スキル習得演出の有無,移動後のX座標,移動後のY座標,移動演出の有無,移動後の階数,部屋ナンバー,移動演出の有無,移動後の階数,全回復演出の有無,場面ナンバー,場面変更の演出,フラグナンバー,ON/OFF,参照フラグナンバー
0,9,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1
1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3
3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4
4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,6,,,,,,,,,,,,,,,,,11,24,0,1,,,,,,,,,5
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5
5,1,4,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,6
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,6
6,7,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,0
7,7,,,,,,,,,,,,,,,,,,,,,2,0,1,,,,,,0
8,7,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,0
9,7,,,,,,,,,,,,,,,,,,,,,4,0,1,,,,,,0
10,7,,,,,,,,,,,,,,,,,,,,,5,0,1,,,,,,0
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,7
11,7,,,,,,,,,,,,,,,,,,,,,6,0,1,,,,,,0
12,7,,,,,,,,,,,,,,,,,,,,,7,0,1,,,,,,0
13,7,,,,,,,,,,,,,,,,,,,,,8,0,1,,,,,,0
14,7,,,,,,,,,,,,,,,,,,,,,9,0,1,,,,,,0
15,7,,,,,,,,,,,,,,,,,,,,,10,0,1,,,,,,0
16,7,,,,,,,,,,,,,,,,,,,,,11,0,1,,,,,,0
17,7,,,,,,,,,,,,,,,,,,,,,12,0,1,,,,,,0
18,7,,,,,,,,,,,,,,,,,,,,,13,0,1,,,,,,0
19,7,,,,,,,,,,,,,,,,,,,,,14,0,1,,,,,,0
20,7,,,,,,,,,,,,,,,,,,,,,15,0,1,,,,,,0
21,6,,,,,,,,,,,,,,,,,2,1,0,1,,,,,,,,,0
22,6,,,,,,,,,,,,,,,,,2,14,0,1,,,,,,,,,0
23,6,,,,,,,,,,,,,,,,,3,20,0,1,,,,,,,,,0
24,6,,,,,,,,,,,,,,,,,4,21,0,1,,,,,,,,,0
25,6,,,,,,,,,,,,,,,,,6,9,0,1,,,,,,,,,0
26,6,,,,,,,,,,,,,,,,,10,12,0,1,,,,,,,,,0
27,6,,,,,,,,,,,,,,,,,9,18,0,1,,,,,,,,,0
28,6,,,,,,,,,,,,,,,,,16,2,0,1,,,,,,,,,0
29,6,,,,,,,,,,,,,,,,,14,7,0,1,,,,,,,,,0
30,6,,,,,,,,,,,,,,,,,16,16,0,1,,,,,,,,,0
31,6,,,,,,,,,,,,,,,,,13,23,0,1,,,,,,,,,0
32,6,,,,,,,,,,,,,,,,,18,18,0,1,,,,,,,,,0
33,6,,,,,,,,,,,,,,,,,22,5,0,1,,,,,,,,,0
34,6,,,,,,,,,,,,,,,,,23,12,0,1,,,,,,,,,0
35,6,,,,,,,,,,,,,,,,,22,20,0,1,,,,,,,,,0
36,9,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,8
,5,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,8
,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,6,,,,,,,,,,,,,,,,,14,24,0,2,,,,,,,,,8
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,8
37,7,,,,,,,,,,,,,,,,,,,,,16,0,2,,,,,,0
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,9
38,7,,,,,,,,,,,,,,,,,,,,,17,0,2,,,,,,0
39,7,,,,,,,,,,,,,,,,,,,,,18,0,2,,,,,,0
40,7,,,,,,,,,,,,,,,,,,,,,19,0,2,,,,,,0
41,7,,,,,,,,,,,,,,,,,,,,,20,0,2,,,,,,0
42,7,,,,,,,,,,,,,,,,,,,,,21,0,2,,,,,,0
43,7,,,,,,,,,,,,,,,,,,,,,22,0,2,,,,,,0
44,7,,,,,,,,,,,,,,,,,,,,,23,0,2,,,,,,0
45,7,,,,,,,,,,,,,,,,,,,,,24,0,2,,,,,,0
46,7,,,,,,,,,,,,,,,,,,,,,25,0,2,,,,,,0
47,7,,,,,,,,,,,,,,,,,,,,,26,0,2,,,,,,0
48,7,,,,,,,,,,,,,,,,,,,,,27,0,2,,,,,,0
49,7,,,,,,,,,,,,,,,,,,,,,28,0,2,,,,,,0
50,7,,,,,,,,,,,,,,,,,,,,,29,0,2,,,,,,0
51,7,,,,,,,,,,,,,,,,,,,,,30,0,2,,,,,,0
52,7,,,,,,,,,,,,,,,,,,,,,31,0,2,,,,,,0
53,7,,,,,,,,,,,,,,,,,,,,,32,0,2,,,,,,0
54,7,,,,,,,,,,,,,,,,,,,,,33,0,2,,,,,,0
55,6,,,,,,,,,,,,,,,,,3,4,0,2,,,,,,,,,0
56,6,,,,,,,,,,,,,,,,,3,10,0,2,,,,,,,,,0
57,6,,,,,,,,,,,,,,,,,2,21,0,2,,,,,,,,,0
58,6,,,,,,,,,,,,,,,,,6,3,0,2,,,,,,,,,0
59,6,,,,,,,,,,,,,,,,,5,8,0,2,,,,,,,,,0
60,6,,,,,,,,,,,,,,,,,5,16,0,2,,,,,,,,,0
61,6,,,,,,,,,,,,,,,,,6,22,0,2,,,,,,,,,0
62,6,,,,,,,,,,,,,,,,,10,14,0,2,,,,,,,,,0
63,6,,,,,,,,,,,,,,,,,11,23,0,2,,,,,,,,,0
64,6,,,,,,,,,,,,,,,,,14,6,0,2,,,,,,,,,0
