0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,1
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1
1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,9,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2
,8,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2
,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2
,6,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0
2,2,,9,1,,1,,,,,,,,,,,,,,,,,,,,,,,,3
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3
3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,4,,,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,4
,4,,,,,,,,,,3,0,0,,,,,,,,,,,,,,,,,4
,6,,,,,,,,,,,,,,,,,0,12,0,2,,,,,,,,,4
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4
4,6,,,,,,,,,,,,,,,,,0,12,0,2,,,,,,,,,5
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,6
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,7
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,8
,6,,,,,,,,,,,,,,,,,1,24,0,2,,,,,,,,,8
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,9
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8
5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,,9,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,9
,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9
6,7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0
7,6,,,,,,,,,,,,,,,,,6,0,0,0,,,,,,,,,0
8,6,,,,,,,,,,,,,,,,,10,0,0,0,,,,,,,,,0
9,7,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,0
10,6,,,,,,,,,,,,,,,,,2,16,0,0,,,,,,,,,0
11,6,,,,,,,,,,,,,,,,,23,0,0,0,,,,,,,,,0
12,6,,,,,,,,,,,,,,,,,2,16,0,0,,,,,,,,,0
13,6,,,,,,,,,,,,,,,,,6,16,0,0,,,,,,,,,0
14,7,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,0
15,6,,,,,,,,,,,,,,,,,8,16,0,0,,,,,,,,,0
16,6,,,,,,,,,,,,,,,,,20,13,0,1,,,,,,,,,0
17,7,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,0
18,6,,,,,,,,,,,,,,,,,14,16,0,0,,,,,,,,,0
19,6,,,,,,,,,,,,,,,,,18,16,0,0,,,,,,,,,0
20,7,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,0
21,6,,,,,,,,,,,,,,,,,12,16,0,0,,,,,,,,,0
22,7,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,,,0
23,6,,,,,,,,,,,,,,,,,23,0,0,1,,,,,,,,,0
24,6,,,,,,,,,,,,,,,,,1,13,0,1,,,,,,,,,0
25,6,,,,,,,,,,,,,,,,,20,0,0,1,,,,,,,,,0
26,6,,,,,,,,,,,,,,,,,16,0,0,1,,,,,,,,,0
27,7,,,,,,,,,,,,,,,,,,,,,2,0,1,,,,,,0
28,6,,,,,,,,,,,,,,,,,14,0,0,1,,,,,,,,,0
29,6,,,,,,,,,,,,,,,,,10,0,0,1,,,,,,,,,0
30,7,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,0
31,6,,,,,,,,,,,,,,,,,18,0,0,2,,,,,,,,,0
32,6,,,,,,,,,,,,,,,,,4,0,0,1,,,,,,,,,0
33,7,,,,,,,,,,,,,,,,,,,,,0,0,2,,,,,,0
34,6,,,,,,,,,,,,,,,,,1,12,0,2,,,,,,,,,0
35,6,,,,,,,,,,,,,,,,,5,12,0,2,,,,,,,,,0
36,7,,,,,,,,,,,,,,,,,,,,,1,0,2,,,,,,0
37,7,,,,,,,,,,,,,,,,,,,,,2,0,2,,,,,,0
38,6,,,,,,,,,,,,,,,,,7,12,0,2,,,,,,,,,0
39,6,,,,,,,,,,,,,,,,,11,12,0,2,,,,,,,,,0
40,7,,,,,,,,,,,,,,,,,,,,,3,0,2,,,,,,0
41,6,,,,,,,,,,,,,,,,,13,1 2,0,2,,,,,,,,,0
42,6,,,,,,,,,,,,,,,,,17,12,0,2,,,,,,,,,0
43,7,,,,,,,,,,,,,,,,,,,,,4,0,2,,,,,,0
44,7,,,,,,,,,,,,,,,,,,,,,5,0,2,,,,,,0
45,6,,,,,,,,,,,,,,,,,19,12,0,2,,,,,,,,,0
46,6,,,,,,,,,,,,,,,,,23,12,0,2,,,,,,,,,0
